"service_id","date","exception_type"
"GO104_160000436","20160405","1"
"GO104_160000436","20160406","1"
"GO104_160000436","20160407","1"
"GO104_160000436","20160411","1"
"GO104_160000436","20160412","1"
"GO104_160000436","20160414","1"
"GO104_160000436","20160415","1"
"GO104_160000436","20160418","1"
"GO104_160000436","20160419","1"
"GO104_160000436","20160420","1"
"GO104_160000436","20160421","1"
"GO104_160000436","20160422","1"
"GO104_160000436","20160425","1"
"GO104_160000436","20160426","1"
"GO104_160000436","20160427","1"
"GO104_160000436","20160428","1"
"GO104_160000436","20160429","1"
"GO104_160000436","20160502","1"
"GO104_160000436","20160503","1"
"GO104_160000436","20160505","1"
"GO104_160000436","20160506","1"
"GO104_160000436","20160509","1"
"GO104_160000436","20160510","1"
"GO104_160000436","20160511","1"
"GO104_160000436","20160512","1"
"GO104_160000436","20160513","1"
"GO104_160000436","20160516","1"
"GO104_160000436","20160517","1"
"GO104_160000436","20160518","1"
"GO104_160000436","20160519","1"
"GO104_160000436","20160520","1"
"GO104_160000437","20160307","1"
"GO104_160000437","20160308","1"
"GO104_160000437","20160309","1"
"GO104_160000437","20160310","1"
"GO104_160000437","20160311","1"
"GO104_160000437","20160314","1"
"GO104_160000437","20160315","1"
"GO104_160000437","20160316","1"
"GO104_160000437","20160317","1"
"GO104_160000437","20160318","1"
"GO104_160000437","20160321","1"
"GO104_160000437","20160322","1"
"GO104_160000437","20160323","1"
"GO104_160000437","20160324","1"
"GO104_160000437","20160325","1"
"GO104_160000437","20160328","1"
"GO104_160000437","20160329","1"
"GO104_160000437","20160330","1"
"GO104_160000437","20160331","1"
"GO104_160000437","20160401","1"
"GO104_160000437","20160404","1"
"GO104_160000437","20160405","1"
"GO104_160000437","20160406","1"
"GO104_160000437","20160407","1"
"GO104_160000437","20160411","1"
"GO104_160000437","20160412","1"
"GO104_160000437","20160414","1"
"GO104_160000437","20160415","1"
"GO104_160000437","20160418","1"
"GO104_160000437","20160419","1"
"GO104_160000437","20160420","1"
"GO104_160000437","20160421","1"
"GO104_160000437","20160422","1"
"GO104_160000437","20160425","1"
"GO104_160000437","20160426","1"
"GO104_160000437","20160427","1"
"GO104_160000437","20160428","1"
"GO104_160000437","20160429","1"
"GO104_160000437","20160502","1"
"GO104_160000437","20160503","1"
"GO104_160000437","20160505","1"
"GO104_160000437","20160506","1"
"GO104_160000437","20160509","1"
"GO104_160000437","20160510","1"
"GO104_160000437","20160511","1"
"GO104_160000437","20160512","1"
"GO104_160000437","20160513","1"
"GO104_160000437","20160516","1"
"GO104_160000437","20160517","1"
"GO104_160000437","20160518","1"
"GO104_160000437","20160519","1"
"GO104_160000437","20160520","1"
"GO104_160000438","20160307","1"
"GO104_160000438","20160308","1"
"GO104_160000438","20160309","1"
"GO104_160000438","20160310","1"
"GO104_160000438","20160311","1"
"GO104_160000438","20160314","1"
"GO104_160000438","20160315","1"
"GO104_160000438","20160316","1"
"GO104_160000438","20160317","1"
"GO104_160000438","20160318","1"
"GO104_160000438","20160321","1"
"GO104_160000438","20160322","1"
"GO104_160000438","20160323","1"
"GO104_160000438","20160324","1"
"GO104_160000438","20160325","1"
"GO104_160000438","20160328","1"
"GO104_160000438","20160329","1"
"GO104_160000438","20160330","1"
"GO104_160000438","20160331","1"
"GO104_160000438","20160401","1"
"GO104_160000438","20160404","1"
"GO104_160000438","20160405","1"
